"LearnDirectClassSystemCode","LearnDirectClassSystemCodeDesc","LearnDirectClassSystemCodeDesc2","EffectiveFrom","EffectiveTo"
"CC.1141","Sql Server (Microsoft) (Database Software)","Sql Srvr (Msoft) (Dbase Sfwre)","11 Dec 2006",""
"CC.1142","Sql Server (Sybase) (Database Software)","Sql Srvr (Sybase) (Dbase Sfwre)","11 Dec 2006",""
"CC.115","Structured Query Languages (Sqls)","Strcd Query Lang (Sqls)","11 Dec 2006",""
"CC.1151","Pl/Sql (Structured Query Language)","Pl/ Sql (Strcd Query Lang)","11 Dec 2006",""
"CC.1152","Quest (Structured Query Language)","Quest (Strcd Query Lang)","11 Dec 2006",""
"CC.1153","Transact-Sql (Structured Query Language)","Transact-Sql (Strcd Query Lang)","11 Dec 2006",""
"CC.12","Integrated Packages (Use)","Intgd Pcks (Use)","11 Dec 2006",""
"CC.121","Integrated Packages (Use) A-D","Intgd Pcks (Use) A-D","11 Dec 2006",""
"CC.122","Integrated Packages (Use) E-K","Intgd Pcks (Use) E-K","11 Dec 2006",""
"CC.1221","Framework (Integrated Package)","Framewrk","11 Dec 2006",""
"CC.123","Integrated Packages (Use) L-R","Intgd Pcks (Use) L-R","11 Dec 2006",""
"CC.1231","Office (Corel) (Integrated Package)","Office (Corel)","11 Dec 2006",""
"CC.1232","Office (Microsoft) (Integrated Package)","Office (Msoft)","11 Dec 2006",""
"CC.1233","Office Manager (Integrated Package)","Office Mngr","11 Dec 2006",""
