"LearnDirectClassSystemCode","LearnDirectClassSystemCodeDesc","LearnDirectClassSystemCodeDesc2","EffectiveFrom","EffectiveTo"
"KH.71","Book Cover Decoration","Book Cover Décor","26 Mar 2001",""
"KH.8","Stationery Design / Printing","Stationery Des/ Printing","26 Mar 2001",""
"KJ.","Moving Image / Photography / Media Production","Moving Image/ Photo/ Media Prod","26 Mar 2001",""
"KJ.1","Photography","Photo","26 Mar 2001",""
"KJ.11","Photographic Techniques / Types","Photo Tech/ Types","26 Mar 2001",""
"KJ.111","Documentary Photography","Docary Photo","26 Mar 2001",""
"KJ.112","Medical Photography","Medic Photo","26 Mar 2001",""
"KJ.113","Scientific / Technical Photography","Sci/ Tech Photo","26 Mar 2001",""
"KJ.114","Portrait Photography","Portrait Photo","26 Mar 2001",""
"KJ.115","Landscape Photography","Landscape Photo","26 Mar 2001",""
"KJ.116","Still Life Photography","Still Life Photo","26 Mar 2001",""
"KJ.117","Fashion Photography","Fash Photo","26 Mar 2001",""
"KJ.12","Photographic Processing","Photo Prcss","26 Mar 2001",""
"KJ.121","Black and White Photographic Processing","Black & White Photo Prcss","26 Mar 2001",""
"KJ.122","Colour Photographic Processing","Colour Photo Prcss","26 Mar 2001",""
"KJ.123","Digital Processing","Digital Prcss","26 Mar 2001",""
"KJ.13","Photographic Science / Technology","Photo Sci/ Tech","26 Mar 2001",""
"KJ.14","Digital Photography","Digital Photo","26 Mar 2001",""
"KJ.2","Film / Video / Television Production","Film/ Vid/ Tv Prod","26 Mar 2001",""
"KJ.21","Film / Video Production","Film/ Vid Prod","26 Mar 2001",""
"KJ.22","Film / Video Direction","Film/ Vid Dirion","26 Mar 2001",""
"KJ.23","Film / Video Editing","Film/ Vid Eding","26 Mar 2001",""
"KJ.24","Film / Video Lighting","Film/ Vid Lght","26 Mar 2001",""
"KJ.25","Interactive Video","Interactive Vid","26 Mar 2001",""
"KJ.26","Television / Radio Programme Production","Tv/ Radio Prog Prod","26 Mar 2001",""
"KJ.261","Television Programme Production","Tv Prog Prod","26 Mar 2001",""
"KJ.262","Radio Programme Production","Radio Prog Prod","26 Mar 2001",""
"KJ.27","Film Photography","Film Photo","26 Mar 2001",""
"KJ.28","Video Photography","Vid Photo","26 Mar 2001",""
"KJ.3","Audio and Visual Media","Audio & Vis Media","26 Mar 2001",""
"KJ.31","Audiovisual Studies","Audiovis Stud","26 Mar 2001",""
"KJ.311","Audiovisual Technology","Audiovis Tech","26 Mar 2001",""
"KJ.33","Sound Recording","Sound Rec","26 Mar 2001",""
"KJ.4","Special Effects (Film/Video)","Spec Eff (Film/ Vid)","11 Dec 2006",""
"L","Performing Arts","Prfrm Arts","26 Mar 2001",""
"LA.","Performing Arts (General)","Prfrm Arts (Gen)","26 Mar 2001",""
"LA.1","Artist / Performer Management / Representation","Artist/ Perfrm Mngm/ Repres","11 Dec 2006",""
"LB.","Dance","Dnc","26 Mar 2001",""
"LB.2","Classical Dance","Class Dnc","26 Mar 2001",""
"LB.22","Ballet (Europe) Classical Dance","Ballet (Euro) Class Dnc","26 Mar 2001",""
"LB.23","Middle East Classical Dance","Mid E Class Dnc","26 Mar 2001",""
"LB.24","Africa Classical Dance","Africa Class Dnc","26 Mar 2001",""
"LB.25","Americas Classical Dance","Americas Class Dnc","26 Mar 2001",""
"LB.254","Latin America Classical Dance","Latin America Class Dnc","26 Mar 2001",""
"LB.26","Asia Classical Dance","Asia Class Dnc","26 Mar 2001",""
"LB.27","Australasia / Austronesia Classical Dance","Austral/ Austron Class Dnc","26 Mar 2001",""
"LB.3","Modern Dance","Mdm Dnc","26 Mar 2001",""
"LB.4","Choreography","Choreogrphy","26 Mar 2001",""
"LB.41","Dance Notation","Dnc Notation","26 Mar 2001",""
"LB.5","Movement Studies (Dance)","Movement Stud (Dnc)","26 Mar 2001",""
"LB.6","Folk / Traditional Dance","Folk/ Trad Dnc","26 Mar 2001",""
"LB.61","English Folk / Traditional Dance","Eng Folk/ Trad Dnc","26 Mar 2001",""
"LB.612","Country Dancing","Country Dancing","26 Mar 2001",""
"LB.62","Europe Folk / Traditional Dance","Euro Folk/ Trad Dnc","26 Mar 2001",""
"LB.621","Flamenco","Flamenco","24 Jan 2005",""
"LB.63","Middle East Folk / Traditional Dance","Mid E Folk/ Trad Dnc","26 Mar 2001",""
"LB.631","Belly Dancing","Belly Dancing","24 Jan 2005",""
"LB.64","Africa Folk / Traditional Dance","Africa Folk/ Trad Dnc","26 Mar 2001",""
"LB.65","Americas Folk / Traditional Dance","Americas Folk/ Trad Dnc","26 Mar 2001",""
"LB.654","Latin America Folk / Traditional Dance","Latin America Folk/ Trad Dnc","26 Mar 2001",""
"LB.6541","Salsa","Salsa","26 Mar 2001",""
"LB.6543","Tango","Tango","11 Dec 2006",""
"LB.66","Asia Folk / Traditional Dance","Asia Folk/ Trad Dnc","26 Mar 2001",""
"LB.662","India / Central Asia Folk / Traditional Dance","India/ C Asia Folk/ Trad Dnc","26 Mar 2001",""
"LB.663","Far East (East Asia) Folk / Traditional Dance","Far E (East Asia) Folk/ Trad Dnc","26 Mar 2001",""
"LB.67","Australasia / Austronesia Folk / Traditional Dance","Austral/ Austron Folk/ Trad Dnc","26 Mar 2001",""
"LB.7","Free / Expressive Dancing","Free/ Expressive Dancing","26 Mar 2001",""
"LB.8","Popular Dancing","Pop Dancing","26 Mar 2001",""
"LB.81","Ballroom Dancing","Ballroom Dancing","26 Mar 2001",""
"LB.82","Old Time Dancing","Old Time Dancing","26 Mar 2001",""
"LB.83","Tap Dancing","Tap Dancing","26 Mar 2001",""
"LB.84","Sequence Dancing","Sequence Dancing","26 Mar 2001",""
"LB.85","Disco Dancing","Disco Dancing","26 Mar 2001",""
"LB.86","Break Dancing","Break Dancing","26 Mar 2001",""
"LB.87","Jazz Dancing","Jazz Dancing","26 Mar 2001",""
"LB.88","Line Dancing","Line Dancing","26 Mar 2001",""
"LB.89","Jive / Rock Dancing","Jive/ Rock Dancing","26 Mar 2001",""
"LC.","Theatre and Dramatic Arts","Theatre & Dramatic Arts","26 Mar 2001",""
"LC.1","Acting","Acting","26 Mar 2001",""
"LC.11","Speech and Drama","Speech & Drama","26 Mar 2001",""
"LC.2","Amateur Dramatics","Amateur Dramatics","26 Mar 2001",""
"LC.3","Community Theatre","Comm Theatre","26 Mar 2001",""
"LC.4","Drama Studies","Drama Stud","26 Mar 2001",""
"LC.44","Musical Theatre","Musal Theatre","26 Mar 2001",""
"LC.6","Voice Studies (Drama)","Voice Stud (Drama)","26 Mar 2001",""
"LC.7","Theatre Direction","Theatre Dirion","26 Mar 2001",""
"LC.8","Mime","Mime","26 Mar 2001",""
"LD.","Variety Circus and Modelling","Variety Circus & Modelling","26 Mar 2001",""
"LD.1","Fashion Modelling","Fash Modelling","26 Mar 2001",""
"LD.2","Variety Performance","Variety Perf","26 Mar 2001",""
"LD.23","Magic (Variety Performance)","Magic (Variety Perf)","26 Mar 2001",""
"LD.24","Puppeteering","Puppeteering","26 Mar 2001",""
"LD.4","Circus / Stunt Performance","Circus/ Stunt Perf","26 Mar 2001",""
"LE.","Theatre Production","Theatre Prod","26 Mar 2001",""
"LE.1","Stage Management","Stage Mngm","26 Mar 2001",""
"LE.2","Theatre Design","Theatre Des","26 Mar 2001",""
"LE.21","Set Design (Theatre)","Set Des (Theatre)","26 Mar 2001",""
"LE.22","Lighting (Theatre)","Lght (Theatre)","26 Mar 2001",""
"LE.3","Theatre Electrics","Theatre Elecs","26 Mar 2001",""
"LE.31","Theatre Lighting","Theatre Lght","11 Dec 2006",""
"LE.32","Theatre Sound","Theatre Sound","11 Dec 2006",""
"LE.5","Theatrical Costume","Theatrical Costume","26 Mar 2001",""
"LE.51","Wardrobe Work (Theatre)","Wardrobe Wrk (Theatre)","26 Mar 2001",""
"LE.52","Theatrical Makeup/Haircraft","Theatrical Makeup/ Harcrft","26 Mar 2001",""
"LE.6","Properties (Theatre)","Properties (Theatre)","11 Dec 2006",""
"LF.","Music Studies","Mus Stud","26 Mar 2001",""
"LF.2","Musicology","Musology","26 Mar 2001",""
"LF.21","Ethnomusicology","Ethnomusology","26 Mar 2001",""
"LF.3","Music History","Mus Hist","26 Mar 2001",""
"LF.4","Music Theory","Mus Theory","26 Mar 2001",""
"LF.5","Music Composition / Arrangement","Mus Composition/ Arrangement","26 Mar 2001",""
"LF.51","Music Composition","Mus Composition","26 Mar 2001",""
"LF.52","Music Arrangement","Mus Arrangement","26 Mar 2001",""
"LF.53","Music Transcription","Mus Transcription","26 Mar 2001",""
"LF.54","Orchestration","Orchestration","26 Mar 2001",""
"LF.55","Song / Lyric Writing","Song/ Lyric Writing","26 Mar 2001",""
"LF.6","Music Score Preparation","Mus Score Prep","26 Mar 2001",""
"LF.7","Music Appreciation","Mus App","26 Mar 2001",""
"LF.71","Score Reading (Musical Appreciation)","Score Reading (Musal App)","26 Mar 2001",""
"LF.72","Music Appreciation Specific Composers","Mus App Spec Composers","11 Dec 2006",""
"LG.","Music Of Specific Kinds / Cultures","Mus Of Spec Kinds/ Cult","26 Mar 2001",""
"LG.2","Europe Music","Euro Mus","26 Mar 2001",""
"LG.22","European Style Classical Music","Euro Style Class Mus","26 Mar 2001",""
"LG.23","Europe Classical Music Of Specific Periods","Euro Class Mus Of Spec Prd","26 Mar 2001",""
"LG.24","Europe Classical Music Of Specific Countries","Euro Class Mus Of Spec Cntr","26 Mar 2001",""
"LG.25","Opera (European Style)","Opera (Euro Style)","26 Mar 2001",""
"LG.26","Religious Music","Rel Mus","26 Mar 2001",""
"LG.27","Europe Folk / Traditional Music","Euro Folk/ Trad Mus","26 Mar 2001",""
"LG.3","Middle East Music","Mid E Mus","26 Mar 2001",""
"LG.4","Africa Music","Africa Mus","26 Mar 2001",""
"LG.5","Americas Music","Americas Mus","26 Mar 2001",""
"LG.52","North America Music","North America Mus","26 Mar 2001",""
"LG.54","Latin America Music","Latin America Mus","26 Mar 2001",""
"LG.6","Asia Music","Asia Mus","26 Mar 2001",""
"LG.62","India / Central Asia Music","India/ C Asia Mus","26 Mar 2001",""
"LG.7","Australasia / Austronesia Music","Austral/ Austron Mus","26 Mar 2001",""
"LG.8","Popular Music","Pop Mus","26 Mar 2001",""
"LG.82","Rock Music","Rock Mus","26 Mar 2001",""
"LG.83","Jazz / Blues","Jazz/ Blues","26 Mar 2001",""
"LG.86","Folk Music (Popular)","Folk Mus (Pop)","26 Mar 2001",""
"LG.87","Film Music","Film Mus","11 Dec 2006",""
"LH.","Music Performance / Playing","Mus Perf/ Ply","26 Mar 2001",""
"LH.1","Music Performance (Group)","Mus Perf (Grp)","26 Mar 2001",""
"LH.11","Ensemble Playing","Ensemble Ply","26 Mar 2001",""
"LH.12","Orchestral Playing","Orchestral Ply","26 Mar 2001",""
"LH.13","Band Musicianship","Band Musianship","26 Mar 2001",""
"LH.2","Conducting (Music)","Conducting (Mus)","26 Mar 2001",""
"LH.3","Singing","Singing","26 Mar 2001",""
"LH.31","Singing (Choral)","Singing (Choral)","26 Mar 2001",""
"LH.32","Singing (Solo)","Singing (Solo)","26 Mar 2001",""
"LH.33","Voice Studies (Singing)","Voice Stud (Singing)","26 Mar 2001",""
"LH.4","Keyboard Instrument Playing","Keybrd Inst Ply","26 Mar 2001",""
"LH.41","Piano Playing","Piano Ply","26 Mar 2001",""
"LH.42","Organ Playing","Organ Ply","26 Mar 2001",""
"LH.5","Stringed Instrument Playing","Stringed Inst Ply","26 Mar 2001",""
"LH.51","Violin / Viola Playing","Violin/ Viola Ply","26 Mar 2001",""
"LH.52","Cello Playing","Cello Ply","26 Mar 2001",""
"LH.53","Double Bass Playing","Double Bass Ply","26 Mar 2001",""
"LH.54","Guitar Playing","Guitar Ply","26 Mar 2001",""
"LH.541","Classical Guitar Playing","Class Guitar Ply","26 Mar 2001",""
"LH.543","Rock / Pop Guitar Playing","Rock/ Pop Guitar Ply","26 Mar 2001",""
"LH.55","Harp Playing","Harp Ply","26 Mar 2001",""
"LH.6","Wind Instrument Playing","Wind Inst Ply","26 Mar 2001",""
"LH.61","Brass Instrument Playing","Brass Inst Ply","26 Mar 2001",""
"LH.611","Cornet Playing","Cornet Ply","26 Mar 2001",""
"LH.612","Saxophone Playing","Saxophone Ply","26 Mar 2001",""
"LH.613","Trombone Playing","Trombone Ply","26 Mar 2001",""
"LH.614","Trumpet Playing","Trumpet Ply","26 Mar 2001",""
"LH.62","Woodwind Instrument Playing","Woodwind Inst Ply","26 Mar 2001",""
"LH.621","Bassoon Playing","Bassoon Ply","26 Mar 2001",""
"LH.622","Clarinet Playing","Clarinet Ply","26 Mar 2001",""
"LH.623","Flute Playing","Flute Ply","26 Mar 2001",""
"LH.624","Oboe Playing","Oboe Ply","26 Mar 2001",""
"LH.625","Piccolo Playing","Piccolo Ply","26 Mar 2001",""
"LH.63","Bagpipe Playing","Bagpipe Ply","26 Mar 2001",""
"LH.7","Percussion Instrument Playing","Percussion Inst Ply","26 Mar 2001",""
"LH.71","Drumming","Drumming","24 Jan 2005",""
"LH.711","Steel Band Drumming","Steel Band Drumming","24 Jan 2005",""
"LH.73","Bell Ringing (Handbells)","Bell Ringing (Handbells)","26 Mar 2001",""
"LH.74","Bell Ringing (Tower)","Bell Ringing (Tower)","26 Mar 2001",""
"LH.8","Electronic Music","Elec Mus","26 Mar 2001",""
"LJ.","Musical Instrument Making / Repair","Musal Inst Making/ Repair","26 Mar 2001",""
"LJ.1","Musical Instrument Making","Musal Inst Making","26 Mar 2001",""
"LJ.11","Stringed Instrument Making","Stringed Inst Making","26 Mar 2001",""
"LJ.12","Brass Instrument Making","Brass Inst Making","26 Mar 2001",""
"LJ.13","Woodwind Instrument Making","Woodwind Inst Making","26 Mar 2001",""
"LJ.14","Percussion Instrument Making","Percussion Inst Making","26 Mar 2001",""
"LJ.7","Musical Instrument Repairing","Musal Inst Repairing","26 Mar 2001",""
"LJ.8","Piano Tuning","Piano Tuning","26 Mar 2001",""
"LK.","Music Technology / Production","Mus Tech/ Prod","20 Jul 2004",""
"LK.1","Sound Engineering","Sound Engnr","24 Jan 2005",""
"LK.2","Midi Programming","Midi Prog","20 Jul 2004",""
"LK.21","Cubase","Cubase","24 Jan 2005",""
"LK.23","Synthesiser Programming / Sampling","Synther Prog/ Sampling","24 Jan 2005",""
"LK.3","Music Business","Mus Bus","24 Jan 2005",""
"LK.31","Music Production","Mus Prod","24 Jan 2005",""
"LK.32","Music Management","Mus Mngm","20 Jul 2004",""
"LK.4","Dj Work","Dj Wrk","20 Jul 2004",""
"M","Sports Games and Recreation","Sports Games & Recreation","26 Mar 2001",""
"MA.","Sports Studies / Combined Sports","Sports Stud/ Cmbn Sports","26 Mar 2001",""
"MA.1","Sports Studies","Sports Stud","26 Mar 2001",""
"MA.11","Sports / Movement Science","Sports/ Movement Sci","26 Mar 2001",""
"MA.2","Physical Education","Phys Ed","26 Mar 2001",""
"MA.3","Combined Sports","Cmbn Sports","26 Mar 2001",""
"MA.4","Sports Coaching","Sports Coach","26 Mar 2001",""
"MA.42","Swimming / Water Sports Coaching","Swimming/ Water Sports Coach","26 Mar 2001",""
"MA.43","Athletics / Gymnastics / Combat Sports Coaching","Athl/ Gym/ Combat Sports Coach","26 Mar 2001",""
"MA.46","Football and Team Games Coaching","Football & Team Games Coach","26 Mar 2001",""
"MA.47","Tennis and Related Games Coaching","Tennis & Related Games Coach","26 Mar 2001",""
"MA.5","Community Sports","Comm Sports","26 Mar 2001",""
"MA.6","Sports Organisation","Sports Org","26 Mar 2001",""
"MA.62","Sports Leadership","Sports Leadership","26 Mar 2001",""
"MA.63","Sports Refereeing / Umpiring","Sports Refereeing/ Umpiring","26 Mar 2001",""
"MA.7","Sports Organisation For People With Disabilities","Sports Org For Pple With Disab","26 Mar 2001",""
"MA.8","Outdoor Pursuits Organisation","Outdoor Pursuits Org","26 Mar 2001",""
"MB.","Air Sports","Air Sports","26 Mar 2001",""
"MB.1","Flying (Leisure)","Flying (Lsr)","26 Mar 2001",""
"MB.11","Aircraft Flying (Leisure)","Arcrft Flying (Lsr)","26 Mar 2001",""
"MB.13","Gliding","Gliding","26 Mar 2001",""
"MB.2","Ballooning","Ballooning","26 Mar 2001",""
"MB.3","Parachuting","Parachuting","26 Mar 2001",""
"MB.4","Hang Gliding","Hang Gliding","26 Mar 2001",""
"MB.6","Paragliding","Paragliding","26 Mar 2001",""
"MC.","Water Sports","Water Sports","26 Mar 2001",""
"MC.1","Diving (Sub-Aqua)","Diving (Sub-Aqua)","26 Mar 2001",""
"MC.2","Swimming","Swimming","26 Mar 2001",""
"MC.21","Swimming (Learners)","Swimming (Lrns)","26 Mar 2001",""
"MC.22","Swimming (Advanced)","Swimming (Adv)","26 Mar 2001",""
"MC.23","Water Polo","Water Polo","26 Mar 2001",""
"MC.24","Life Saving (Swimming)","Life Saving (Swimming)","26 Mar 2001",""
"MC.26","Diving (Board)","Diving (Brd)","26 Mar 2001",""
"MC.4","Surfing","Surfing","26 Mar 2001",""
"MC.5","Waterskiing","Waterskiing","26 Mar 2001",""
"MC.6","Fresh Water Leisure Craft","Fresh Water Lsr Craft","26 Mar 2001",""
"MC.61","Canoeing","Canoeing","26 Mar 2001",""
"MC.63","Rowing","Rowing","26 Mar 2001",""
"MC.7","Sea Leisure Craft / Sailing","Sea Lsr Craft/ Sailing","26 Mar 2001",""
"MC.71","Sailing","Sailing","26 Mar 2001",""
"MC.711","Dinghy Sailing","Dinghy Sailing","26 Mar 2001",""
"MC.712","Coastal Sailing","Coastal Sailing","26 Mar 2001",""
"MC.713","Ocean Sailing","Ocean Sailing","26 Mar 2001",""
"MC.715","Wind Surfing","Wind Surfing","26 Mar 2001",""
"MC.716","Yachting (Leisure)","Yachting (Lsr)","26 Mar 2001",""
"MC.72","Motor Craft (Sea) Leisure","Motor Craft (Sea) Lsr","26 Mar 2001",""
"MC.721","Cruising","Cruising","26 Mar 2001",""
"MC.722","Powerboat Racing","Pwrboat Racing","26 Mar 2001",""
"MC.723","Jet Skiing","Jet Skiing","26 Mar 2001",""
"MC.73","Seamanship (Leisure)","Seamanship (Lsr)","26 Mar 2001",""
"MC.731","Skippering (Leisure)","Skippering (Lsr)","26 Mar 2001",""
"MC.732","Navigation Marine (Leisure)","Navigation Marine (Lsr)","26 Mar 2001",""
"MD.","Athletics Gymnastics and Combat Sports","Athl Gym & Combat Sports","26 Mar 2001",""
"MD.1","Athletics","Athl","26 Mar 2001",""
"MD.3","Running","Running","26 Mar 2001",""
"MD.4","Gymnastics","Gym","26 Mar 2001",""
"MD.41","Trampolining","Trampolining","26 Mar 2001",""
"MD.5","Weightlifting (Sport)","Weightlifting (Sport)","26 Mar 2001",""
"MD.6","Combat / Martial Arts","Combat/ Martial Arts","26 Mar 2001",""
"MD.61","Boxing","Boxing","26 Mar 2001",""
"MD.62","Wrestling","Wrestling","26 Mar 2001",""
"MD.63","Aikido","Aikido","26 Mar 2001",""
"MD.64","Judo","Judo","26 Mar 2001",""
"MD.65","Ju Jitsu","Ju Jitsu","26 Mar 2001",""
"MD.66","Karate","Karate","26 Mar 2001",""
"MD.67","Silat","Silat","11 Dec 2006",""
"MD.69","Tae Kwon Do","Tae Kwon Do","26 Mar 2001",""
"MD.7","Fencing (Sport)","Fencing (Sport)","26 Mar 2001",""
"MD.8","Speed Walking (Sport)","Speed Walking (Sport)","26 Mar 2001",""
"MD.9","Sports Fitness / Body Training","Sports Fitness/ Body Trn","26 Mar 2001",""
"MD.91","Weight Training","Weight Trn","26 Mar 2001",""
"MD.92","Circuit Training","Circuit Trn","26 Mar 2001",""
"MD.93","Multi Gym Training","Multi Gym Trn","26 Mar 2001",""
"MD.94","Exercise Machine Use","Exercise Mach Use","26 Mar 2001",""
"MD.96","Sports Massage","Sports Massage","26 Mar 2001",""
"ME.","Wheeled Sports","Wheeled Sports","26 Mar 2001",""
"ME.1","Roller Skating","Roller Skating","26 Mar 2001",""
"ME.2","Skateboarding","Skatebrding","26 Mar 2001",""
"ME.3","Motor Car Sports","Motor Car Sports","26 Mar 2001",""
"ME.33","Motor Racing","Motor Racing","26 Mar 2001",""
"ME.4","Motorcycle Sports","Motorcycle Sports","26 Mar 2001",""
"ME.5","Bicycle Sports","Bicycle Sports","26 Mar 2001",""
"ME.6","Karting","Karting","26 Mar 2001",""
"MF.","Winter Sports","Winter Sports","26 Mar 2001",""
"MF.1","Ice Skating","Ice Skating","26 Mar 2001",""
"MF.2","Skiing","Skiing","26 Mar 2001",""
"MF.3","Sleighing / Tobogganing","Sleighing/ Tobogganing","26 Mar 2001",""
"MG.","Ball and Related Games","Ball & Related Games","26 Mar 2001",""
"MG.1","Football","Football","26 Mar 2001",""
"MG.11","Association (Soccer) Football","Ass (Soccer) Football","26 Mar 2001",""
"MG.12","Rugby Football","Rugby Football","26 Mar 2001",""
"MG.2","Hockey and Related Games","Hockey & Related Games","26 Mar 2001",""
"MG.3","Hand Ball Games","Hand Ball Games","26 Mar 2001",""
"MG.31","Basketball","Basketball","26 Mar 2001",""
"MG.33","Netball","Netball","26 Mar 2001",""
"MG.34","Volleyball","Volleyball","26 Mar 2001",""
"MG.4","Batting Games","Batting Games","26 Mar 2001",""
"MG.5","Bowling Games","Bowling Games","26 Mar 2001",""
"MG.51","Ten Pin Bowling","Ten Pin Bowling","26 Mar 2001",""
"MG.52","Bowls","Bowls","26 Mar 2001",""
"MG.6","Golf","Golf","26 Mar 2001",""
"MG.7","Croquet","Croquet","26 Mar 2001",""
"MG.8","Racquet Sports","Racquet Sports","26 Mar 2001",""
"MG.81","Tennis","Tennis","26 Mar 2001",""
"MG.82","Badminton","Badminton","26 Mar 2001",""
"MG.83","Squash","Squash","26 Mar 2001",""
"MH.","Country / Animal Sports","Country/ Animal Sports","26 Mar 2001",""
"MH.1","Walking / Running (Countryside)","Walking/ Running (Countryside)","26 Mar 2001",""
"MH.11","Walking","Walking","26 Mar 2001",""
"MH.13","Hill Walking","Hill Walking","26 Mar 2001",""
"MH.14","Orienteering","Orienteering","26 Mar 2001",""
"MH.2","Climbing","Climbing","26 Mar 2001",""
"MH.21","Mountaineering","Mountaineering","26 Mar 2001",""
"MH.23","Caving","Caving","26 Mar 2001",""
"MH.24","Abseiling","Abseiling","26 Mar 2001",""
"MH.25","Rock Climbing","Rock Climbing","26 Mar 2001",""
"MH.3","Camping / Caravanning","Camping/ Caravanning","26 Mar 2001",""
"MH.4","Fishing (Sport)","Fishing (Sport)","26 Mar 2001",""
"MH.5","Horse Riding / Horse Sports","Horse Riding/ Horse Sports","26 Mar 2001",""
"MH.52","Horse / Pony Riding","Horse/ Pony Riding","26 Mar 2001",""
"MH.521","Dressage","Dressage","26 Mar 2001",""
"MH.522","Show Jumping","Show Jumping","26 Mar 2001",""
"MH.53","Horse Racing","Horse Racing","26 Mar 2001",""
"MH.54","Mounted Games","Mounted Games","26 Mar 2001",""
"MH.56","Driving (Horses)","Drv (Horses)","26 Mar 2001",""
"MH.6","Archery / Shooting","Archery/ Shoot","26 Mar 2001",""
"MH.61","Archery","Archery","26 Mar 2001",""
"MH.62","Shooting","Shoot","26 Mar 2001",""
"MH.621","Clay Pigeon Shooting","Clay Pigeon Shoot","26 Mar 2001",""
"MH.622","Rifle Shooting","Rifle Shoot","26 Mar 2001",""
"MH.7","War Games","War Games","26 Mar 2001",""
"MH.8","Animal Sports","Animal Sports","26 Mar 2001",""
"MH.81","Falconry","Falconry","26 Mar 2001",""
"MJ.","Indoor Games","Indoor Games","26 Mar 2001",""
"MJ.1","Table Games","Table Games","26 Mar 2001",""
"MJ.11","Table Tennis","Table Tennis","26 Mar 2001",""
"MJ.13","Snooker","Snooker","26 Mar 2001",""
"MJ.2","Darts","Darts","26 Mar 2001",""
"MJ.3","Card Games","Card Games","26 Mar 2001",""
"MJ.31","Bridge (Game)","Bridge (Game)","26 Mar 2001",""
"MJ.4","Board Games","Brd Games","26 Mar 2001",""
"MJ.41","Chess","Chess","26 Mar 2001",""
"MJ.43","Scrabble","Scrabble","26 Mar 2001",""
"MJ.5","Computer Games","Comp Games","26 Mar 2001",""
"MJ.6","Mahjong","Mahjong","26 Mar 2001",""
"N","Catering / Food / Leisure Services / Tourism","Catrg/ Food/ Lsr Svc/ Tour","26 Mar 2001",""
"NA.","Hospitality / Catering","Hospitality/ Catrg","26 Mar 2001",""
"NA.1","Hospitality / Catering (General)","Hospitality/ Catrg (Gen)","26 Mar 2001",""
"NA.11","Catering Studies","Catrg Stud","26 Mar 2001",""
"NA.12","Hotel Studies","Hotel Stud","26 Mar 2001",""
"NA.13","Catering Assistants","Catrg Asss","26 Mar 2001",""
"NA.3","Catering Technology","Catrg Tech","26 Mar 2001",""
"NA.4","Hotel / Catering Management (General)","Hotel/ Catrg Mngm (Gen)","26 Mar 2001",""
"NA.42","Hotel / Catering Finance","Hotel/ Catrg Fin","26 Mar 2001",""
"NA.43","Catering Production Management","Catrg Prod Mngm","26 Mar 2001",""
"NA.45","Hotel / Catering Customer Relations","Hotel/ Catrg Cust Relations","26 Mar 2001",""
"NA.5","Catering As Small Business","Catrg As Small Bus","26 Mar 2001",""
"NA.6","Restaurant Management","Restaurant Mngm","26 Mar 2001",""
"NA.7","Hospitality Management","Hospitality Mngm","26 Mar 2001",""
"NA.71","Hotel Management","Hotel Mngm","26 Mar 2001",""
"NA.72","Guesthouse Management","Guesthouse Mngm","26 Mar 2001",""
"NA.74","Holiday / Service Flats Management","Holiday/ Svce Flats Mngm","26 Mar 2001",""
"NA.75","Holiday Camp Management","Holiday Camp Mngm","26 Mar 2001",""
"NA.8","Institutional Management (Hotel / Catering)","Inst Mngm (Hotel/ Catrg)","26 Mar 2001",""
"NA.9","Licensed Premises Management","Licensed Premises Mngm","26 Mar 2001",""
"NA.91","Bar Stock Control","Bar Stock Cont","26 Mar 2001",""
"NA.92","Club Management","Club Mngm","26 Mar 2001",""
"NA.93","Licensing Laws","Licensing Laws","26 Mar 2001",""
"NA.94","Pub Management","Pub Mngm","26 Mar 2001",""
"NB.","Food / Drink Services","Food/ Drink Svc","26 Mar 2001",""
"NB.1","Food Service","Food Svce","26 Mar 2001",""
"NB.11","Waiting At Table","Waiting At Table","26 Mar 2001",""
"NB.12","Maitre Dhotel Work","Maitre Dhotel Wrk","26 Mar 2001",""
"NB.13","Counter Service (Catering)","Counter Svce (Catrg)","26 Mar 2001",""
"NB.14","Table Clearing (Catering)","Table Clearing (Catrg)","26 Mar 2001",""
"NB.15","Kitchen Porters / Washers-Up","Kitchen Porters/ Washers-Up","26 Mar 2001",""
"NB.2","Drinks Service","Drinks Svce","26 Mar 2001",""
"NB.21","Bar Service","Bar Svce","26 Mar 2001",""
"NB.23","Cellar Work (Catering)","Cellar Wrk (Catrg)","26 Mar 2001",""
"NC.","Catering Operations","Catrg Ops","26 Mar 2001",""
"NC.2","Restaurant / Hotel Catering","Restaurant/ Hotel Catrg","26 Mar 2001",""
"NC.21","Hotel Catering","Hotel Catrg","26 Mar 2001",""
"NC.22","Restaurant Catering","Restaurant Catrg","26 Mar 2001",""
"NC.23","Banqueting","Banqueting","26 Mar 2001",""
"NC.4","Industrial Catering","Ind Catrg","26 Mar 2001",""
"NC.42","Hospital Catering","Hospital Catrg","26 Mar 2001",""
"NC.5","Contract Catering","Contract Catrg","26 Mar 2001",""
"NC.6","Schools / Colleges Catering","Sch/ Colleges Catrg","26 Mar 2001",""
"NC.7","Transport Catering","Trns Catrg","26 Mar 2001",""
"NC.8","Fast Food Catering","Fast Food Catrg","26 Mar 2001",""
"NC.81","Fish and Chip Shops","Fish & Chip Shops","26 Mar 2001",""
"ND.","Hospitality Operations","Hospitality Ops","26 Mar 2001",""
"ND.1","Accommodation Services (Hotel)","Accommodation Svc (Hotel)","26 Mar 2001",""
