"LearnAimRef","AreaCode","EffectiveFrom","EffectiveTo","MaxLoanAmount","SubsidyPercent","SubsidyRate","Created_On","Created_By","Modified_On","Modified_By"
"60029997","GTRLINC","01 Aug 2018","31 Jul 2019","811.00000","0.25000","203.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60035146","GTRLINC","01 Aug 2018","31 Jul 2019","3345.00000","0.25000","836.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60035146","WMIDS","01 Aug 2018","31 Jul 2019","3345.00000","1.00000","3345.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60035171","STOKESTAFFS","01 Aug 2018","31 Jul 2019","3345.00000","0.25000","836.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60038871","GTRLINC","01 Aug 2018","31 Jul 2019","5421.00000","0.25000","1355.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60038871","HEARTSW","01 Aug 2018","31 Jul 2019","5421.00000","0.25000","1355.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60038871","LEEDSCITY","01 Aug 2018","31 Jul 2019","5421.00000","1.00000","5421.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60038871","WMIDS","01 Aug 2018","31 Jul 2019","5421.00000","0.75000","4066.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60038883","GTRLINC","01 Aug 2018","31 Jul 2019","5421.00000","1.00000","5421.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60038883","HEARTSW","01 Aug 2018","31 Jul 2019","5421.00000","0.25000","1355.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60038883","LEEDSCITY","01 Aug 2018","31 Jul 2019","5421.00000","0.75000","4066.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60038883","WMIDS","01 Aug 2018","31 Jul 2019","5421.00000","1.00000","5421.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60038913","HEARTSW","01 Aug 2018","31 Jul 2019","4170.00000","1.00000","4170.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60042370","WMIDS","01 Aug 2018","31 Jul 2019","5421.00000","0.75000","4066.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60054979","GTRLINC","01 Aug 2018","31 Jul 2019","3345.00000","0.75000","2509.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
