"AwardOrgCode","AwardOrgUKPRN","AwardOrgName","AwardOrgShortName","AwardOrgAcronym","AwardOrgNonExtant","AwardOrgNotes","AwardOrgHigherEducationInstitution","EffectiveFrom","EffectiveTo"
"ISMM","10010706","Institute of Sales & Marketing Management","Inst of Sales & Marketing Magt","ISMM","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"ISTD","10022685","Imperial Society of Teachers of Dancing","","ISTD","N","","N","26 Mar 2001",""
"ITA","90000503","Institute of Transactional Analysis","Inst of Transactional Analysis","","N","","N","26 Mar 2001",""
"ITC","10022694","ITC First Aid Ltd","ITC","ITC","N","","N","19 Aug 2006",""
"ITEC","10035318","ITEC","Internatl Therapy Exam Council","","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"ITOL","90000538","Institute of Training and Occupational Learning","","","N","","N","26 Mar 2001",""
"ITSSAR","90000514","Independent Training Standards Scheme & Register","","ITSSAR","N","","N","26 Mar 2001",""
"IWPD","90000593","Institute of Wood Preserving and Damp-Proofing","Inst of Wood Preserving/Damp-P","IWPD","N","","N","26 Mar 2001",""
"IWSC","90000588","Institute of Wood Science","Institute of Wood Science","IWSc","N","","N","26 Mar 2001",""
"J9108","","England Netball/Federation Euro Netball Assocs","AENA/FENA","","Y","See EN award organisation code","N","26 Mar 2001","31 Jul 2015"
"J9183","90000568","Goethe Institut & Deutscher Volkshochschul-Verband","Goethe Inst & DVV","","N","","N","26 Mar 2001",""
"J9200","90000540","Royal Forestry Society/ABC","Royal Forestry Society/CENTRA","","Y","","N","26 Mar 2001",""
"JIBPMES","90000525","Jt Industry Board for Plumbing Mech Engineering Services","JIB Plumbing Mech.Eng.Services","JIB for PM","N","","N","26 Mar 2001",""
"KFAQ","90000533","KFA Qualifications Quality Assurance","KFA Qualifications","KFAQ","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"KINGSTON","10003678","Kingston University","Kingston University","","N","","Y","01 Feb 2005",""
"KPA","10036645","Kaplan Professional Awards","","","N","","N","01 Jan 2011",""
"KU","10007767","UNIVERSITY OF KEELE trading as Keele University","Keele University","KU","N","","Y","01 Apr 2018",""
"LAMDA","10003758","London Academy of Music & Dramatic Art","London Acad Mus & Dramatic Art","LAMDA","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"LANGUAGECERT","0","Language Cert","","","N","","N","01 Aug 2017",""
"LANTRA","10022695","Lantra Awards Ltd","Lantra Awards Ltd","LANTRA","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"LANU","10007768","Lancaster University","","","N","","Y","26 Mar 2001",""
"LAO","","Lifetime Awarding","","","Y","","N","01 Sep 2009","31 Jul 2016"
"LASER","10036646","Laser Learning Awards","","","N","","N","01 Oct 2007",""
"LCC","10024962","Leeds City College","Leeds City College","LCC","N","","Y","01 Aug 2018",""
"LCL","10029745","Logic Certification Limited","","","N","","N","01 Jul 2012",""
"LCM","90000581","London College of Music and Media","London College of Music","LCM","N","","N","26 Mar 2001",""
"LCMUK","10036647","London Centre of Marketing","","","N","","N","01 Feb 2010",""
"LEARNDCT","10003816","Learndirect Ltd (Formerly University for Industry)","","","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"LEEDSTRU","10003863","Leeds Trinity University","","","N","","Y","01 Aug 2016",""
"LEEDU","10007795","Leeds University","","LEEDU","N","","Y","26 Mar 2001",""
"LG","90000501","Lace Guild","","","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"LHU","10003956","Liverpool Hope University","Liverpool Hope University","","N","","Y","01 Jan 2006",""
"LIBF","10008289","The London Institute of Banking and Finance","","","N","Added August 2017 (Was IFS)","Y","01 Aug 2017",""
"LJM","10003957","Liverpool John Moores University","LJM","LJM","N","EZ 0607AU: VT: Mod","Y","26 Mar 2001",""
"LMU","10003861","Leeds Beckett University","LMU","LMU","N","Formerly Leeds Metropolitan University","Y","26 Mar 2001",""
"LONDON","10007797","University of London               LONDON","LONDON","","N","","Y","26 Mar 2001",""
"LONDONMU","10004048","London Metropolitan University","","LONDONMU","N","","Y","08 Nov 2004",""
"LOUUI","10004113","Loughborough University","","","N","","Y","26 Mar 2001",""
"LRN","10032866","Learning Resource Network","","","N","","N","01 Nov 2011",""
"LU","10006842","University of Liverpool","","LU","N","","Y","26 Mar 2001",""
"MAMSA","90000607","Management & Marketing Sales Association","Mgt & Marketing Sales Assocn","MAMSA","N","","N","26 Mar 2001",""
"MBE","90000507","Montessori Board of Examiners","","","N","EZ 0607AU: VT: Mod","N","27 Oct 2004",""
"MCA","90000524","Maritime & Coastguard Agency","","MCA","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"MCDONALD","10013073","McDonald's Restaurants Ltd","","","N","","N","01 Dec 2008",""
"MFA","90000574","Medic First Aid (formerly Emergency Medical Planning (UK) Ltd)","","MFA","N","Formerly Emergency Medical Planning (UK) Ltd. Changed by consent of Chris","N","26 Mar 2001",""
"MIDU","10004351","Middlesex University","MIDU","","N","","Y","26 Mar 2001",""
"MLTE","10022696","Mountain Training England","","MLTE","N","EZ 0607AU: VT: Mod","N","20 Jun 2003",""
"MLTUK","90000566","Mountain Leader Training UK","","MLTUK","N","","N","20 Jun 2003",""
"MLTW","90000516","Mountain Leader Training Wales","","MLTW","N","EZ 0607AU: VT: Mod","N","20 Jun 2003",""
"MMU","10004180","Manchester Metropolitan University","","MMU","N","","Y","26 Mar 2001",""
"MPQC","10026268","Mineral Products Qualifications Council (Formerly EMP Awarding Body Ltd)","","","N","","N","29 Sep 2006",""
"MRS","10004211","The Market Research Society","","MRS","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"MTB","","Music Teachers' Board","MTB Exams Ltd","MTB Exams","N","","N","09 Aug 2018",""
"MULTI","","Multiple Awarding Bodies","","MULTI","N","","N","17 Jun 2004",""
"NABBA","90000614","National Amateur Bodybuilders Association","Nat Amateur Bodybuilders Ass'n","","N","","N","26 Mar 2001",""
"NAFD","90000594","National Association of Funeral Directors","Nat.Assoc.of Funeral Directors","NAFD","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"NATD","10049177","National Association Of Teachers Of Dancing","","","N","","N","01 Mar 2015",""
"NCC","10021992","NCC Education  Ltd","","NCC","N","","N","26 Mar 2001",""
"NCFE","10009696","NCFE","","NCFE","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"NCG","10004599","NCG","","","N","","Y","01 May 2012",""
"NCTJ","90000583","National Council for the Training of Journalists","Nat C for Trg of Journalists","NCTJ","N","","N","26 Mar 2001",""
"NEA","10030450","New Era Academy of Drama and Music (London) Ltd","","NEA","N","KT 20180801 Amended org code from NEASD","N","01 Aug 2018",""
"NEASD","10030450","New Era Academy (Speech and Drama)","","NEA","N","KT 20180801 Amended org code to NEA","N","26 Mar 2001",""
"NEBDN","90000550","National Examining Board for Dental Nurses","NEB Dental Surgery Nurses","NEBDN","N","","N","26 Mar 2001",""
"NEBOSH","10022698","National Examination Board in Occupational Safety & Health (The)","NEB Occup. Safety & Health","","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"NETWRAIL","10013544","Network Rail","","","N","","N","01 Dec 2008",""
"NEWCOLDR","10004576","New College Durham","","","N","","Y","01 Oct 2012",""
"NEWMAN","10007832","Newman University","","","N","","Y","01 Aug 2014",""
"NFOPP","10030464","National Federation of Property Professionals","","NFOPP","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"NIAT","90000536","National Inter-Action Trust","NIAT","NIAT","N","EZ 0607AU: VT: Mod","N","25 Oct 2004",""
"NIC","90000596","NICEIC Certification (Formally NICEIC)","","","N","","N","21 Jul 2005",""
